route,date_of_drop,pct_change_on_drop,rolling_value_before,rolling_value_at
Light Rail,2024-09-28,-1.0,13.0,0.0
Light Rail,2024-09-27,-0.9548611111111112,288.0,13.0
Light Rail,2024-09-23,-0.6371492909743777,2347.285714285714,851.7142857142857
Light Rail,2021-08-16,-0.5196438781344441,1749.0,840.1428571428571
Light Rail,2024-09-24,-0.42552834619255286,851.7142857142857,489.2857142857143
Local Route,2024-09-23,-0.960896518836433,2396.5714285714284,93.71428571428571
Local Route,2024-09-24,-0.7301829268292683,93.71428571428571,25.285714285714285
Local Route,2024-09-22,-0.4996868569383556,4790.142857142857,2396.5714285714284
Local Route,2021-08-16,-0.4668811163465024,3153.1428571428573,1681.0
Local Route,2024-09-29,-0.4407894736842105,7.6,4.25
Peak Service,2024-09-29,-1.0,0.2,0.0
Peak Service,2024-09-23,-0.9965397923875432,41.285714285714285,0.14285714285714285
Peak Service,2020-12-27,-0.6881188118811881,28.857142857142858,9.0
Peak Service,2021-08-16,-0.6577181208053691,42.57142857142857,14.571428571428571
Peak Service,2023-12-25,-0.5957446808510638,53.714285714285715,21.714285714285715
Rapid Route,2024-09-23,-0.9679326141569381,2900.1428571428573,93.0
Rapid Route,2024-09-24,-0.6559139784946236,93.0,32.0
Rapid Route,2024-09-22,-0.4991488416845533,5790.428571428572,2900.1428571428573
Rapid Route,2024-09-27,-0.4957627118644068,16.857142857142858,8.5
Rapid Route,2021-08-16,-0.4714931376207654,3445.285714285714,1820.857142857143
School,2019-07-09,-1.0,408.0,0.0
School,2019-10-01,-1.0,677.8571428571429,0.0
School,2019-12-24,-1.0,6.285714285714286,0.0
School,2020-04-13,-1.0,4.857142857142857,0.0
School,2020-07-07,-1.0,423.7142857142857,0.0
